the age:,Gender:,Area:,Current educational level:,marital status:,Employment status:,Do you use social media applications?,What social media platforms do you use?,What app do you use the most?,How many hours do you spend on social media platforms daily?,Do you feel anxious or stressed after reading negative comments on your posts?,Are you worried about missing out on important information or events when you're not using social media?,Do you feel that using social media has affected your ability to focus and accomplish daily tasks?,Do you think that consuming quick content (such as watching short videos and push notifications...) has affected your patience and ability to deal with long tasks?,Do you use social media right before going to sleep?,Do you have difficulty sleeping because of thinking about what you saw on social media platforms?,Does the number of likes or comments you get on your posts affect you?,Have you changed your opinion or feeling based on the reactions of others on social media platforms?,Do you prefer interacting with friends or family online rather than face-to-face?,How often do you find yourself using social media for longer than you planned?,How do you feel when you compare your life to the lives of others on social media?,"What methods, if any, do you use to limit your social media access?"
18-24,feminine,Dammam,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Snapchat,4-Mar,sometimes,"Yes, always",rarely,sometimes,"Yes, always","No, never",sometimes,rarely,sometimes,always,I don't compare,Turn off the phone
45-54,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,4-Mar,I don't post,rarely,sometimes,rarely,sometimes,"No, never",I don't care about the number of likes or comments,"No, never",rarely,sometimes,Feeling like living a better life,Leave the device away from me
45-54,feminine,grandmother,Less than high school,married,housewife,Yes,"Facebook, Instagram, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always",sometimes,sometimes,"Normal, but there is an exaggeration in publishing and appearing",Hiking with the family
35-44,male,Riyadh,Ph.D,married,"Part-time employee, full-time employee",Yes,"Instagram, X (Twitter), Youtube, WhatsApp",X (Twitter),6-May,sometimes,sometimes,"Yes, a lot",rarely,"Yes, always","No, never",sometimes,sometimes,rarely,sometimes,"I am convinced of what I am in, thank God",Remove the device when entering the house and put it on airplane mode
45-54,male,Najran,diploma,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,Less than an hour,I don't post,"No, never",rarely,"No, never","Yes, always",rarely,"Yes, always","No, never",rarely,rarely,I don't compare myself to anyone,"Go for a walk, family gathering, or with friends"
35-44,male,Najran,Less than high school,married,Full time employee,Yes,"X (Twitter), TikTok, Youtube, WhatsApp",WhatsApp,4-Mar,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always",sometimes,sometimes,sometimes,sometimes,Aashi,Aashi
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",Telegram,4-Mar,sometimes,rarely,sometimes,sometimes,"Yes, always",sometimes,"Yes, always",rarely,sometimes,sometimes,Motivate me,Leave the device in another room
18-24,feminine,Mecca,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,6-May,sometimes,sometimes,"Yes, a lot","Yes, a lot",sometimes,sometimes,rarely,"No, never",sometimes,always,I feel like a failure when I see the accounts of people my age on LinkedIn,Delete the application
55 and more,male,Riyadh,Bachelor's degree,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,rarely,rarely,rarely,sometimes,"No, never","Yes, always",sometimes,"No, never",sometimes,No effect on me,Silent mode
45-54,male,Najran,Bachelor's degree,married,Full time employee,Yes,Instagram,LinkedIn,8-Jul,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always",rarely,never,Find it,everyone
18-24,male,Al-Ahsa,High school or equivalent,bachelor,Full time employee,no,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
45-54,male,Riyadh,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, Youtube, WhatsApp",X (Twitter),4-Mar,sometimes,rarely,sometimes,sometimes,"Yes, always",rarely,sometimes,sometimes,rarely,sometimes,I hope for the best,Use the timer
35-44,feminine,Riyadh,Bachelor's degree,married,housewife,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,"Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always",rarely,rarely,sometimes,sometimes,Thank God for every uncle,Leave the device in an isolated room
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,no,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
18-24,feminine,Riyadh,diploma,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,12 hours or more,"Yes, always","Yes, always","Yes, a lot",sometimes,"Yes, always","No, never",rarely,sometimes,"No, never",always,.,.
45-54,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Instagram, Youtube, WhatsApp, Telegram",Instagram,4-Mar,"No, never","No, never",rarely,"No, never","No, never","No, never",rarely,rarely,sometimes,sometimes,"No, I compare my life to the lives of others. I am grateful for the blessings God has given me.",no. I use any method to start with priorities.
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,4-Mar,sometimes,rarely,sometimes,rarely,"Yes, always",rarely,I don't care about the number of likes or comments,rarely,rarely,sometimes,I do not compare myself with others. Not everything that is published reflects the person?s reality. People always show the good side of their lives.,Use software to set application limits
25-34,male,Najran,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp,",WhatsApp,2-Jan,rarely,sometimes,"No, never",sometimes,sometimes,"No, never",I don't care about the number of likes or comments,"No, never","No, never",sometimes,I don't care about that,nothing
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Youtube, WhatsApp",Youtube,4-Mar,I don't post,"No, never","Yes, a lot","Yes, a lot",sometimes,"No, never","Yes, always",sometimes,sometimes,sometimes,I wish for a better life.,"Delete programs, lock programs, lock the device when you do not want to use it, or turn off the Internet."
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,8-Jul,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always",sometimes,rarely,sometimes,always,Frustration,nothing
45-54,feminine,Jubail,High school or equivalent,married,housewife,Yes,"TikTok, Snapchat, WhatsApp",TikTok,8-Jul,I don't post,rarely,"No, never","No, never",rarely,"No, never",I don't care about the number of likes or comments,"No, never",rarely,sometimes,I don't compare my life to anyone,There is no such thing
18-24,feminine,grandmother,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,12 hours or more,I don't post,rarely,sometimes,"Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,rarely,sometimes,always,Motivation and inspiration,"The tree program for study time. Often, sometimes at bedtime, I leave the phone under the bed and it is in silent mode so that I do not pay attention to notifications."
18-24,feminine,grandmother,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),6-May,"Yes, always",sometimes,"Yes, a lot",sometimes,"Yes, always","Yes, always",I don't care about the number of likes or comments,sometimes,rarely,always,I wish for a better life,Being busy writing or reading away from the mobile phone
45-54,feminine,Riyadh,Bachelor's degree,married,Full time employee,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,2-Jan,I don't post,"No, never",sometimes,"No, never","Yes, always","No, never","No, never",rarely,"No, never",sometimes,"I do not compare my life to the lives of others, thank God",Place it away from the seating area
35-44,male,Najran,High school or equivalent,married,Full time employee,Yes,"Facebook, Instagram, TikTok, Snapchat, WhatsApp",TikTok,2-Jan,sometimes,"Yes, always",sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,"No, never","No, never",always,I wish for a better life,Meeting friends
35-44,feminine,City,Master's,married,Full time employee,Yes,"Facebook, WhatsApp",Facebook,2-Jan,sometimes,rarely,sometimes,"No, never",sometimes,rarely,sometimes,sometimes,rarely,always,Lack and frustration most of the time,Leave the device turned off
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, WhatsApp, Telegram, Locket,",X (Twitter),6-May,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,sometimes,sometimes,always,It varies depending,nothing
18-24,feminine,Riyadh,Bachelor's degree,bachelor,Full time employee,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),6-May,rarely,sometimes,rarely,sometimes,"Yes, always","No, never","No, never","No, never","No, never",sometimes,"Sometimes I feel a little frustrated, but I quickly change my mind and do not care. When I see that some of these posts do not benefit me or cause me harassment, I hasten to unfollow this content.","Leave the mobile phone in a place other than where I am, turn off the phone"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,10-Sep,sometimes,sometimes,sometimes,rarely,"Yes, always",rarely,"Yes, always",sometimes,rarely,sometimes,I wish for a better life,nothing
18-24,male,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp",Instagram,4-Mar,I don't post,rarely,sometimes,"Yes, a lot",sometimes,"No, never",I don't care about the number of likes or comments,rarely,sometimes,sometimes,Inspiration,Restraint
25-34,male,City,Bachelor's degree,bachelor,A worker with his own work,Yes,"Facebook, Youtube, WhatsApp, Telegram",WhatsApp,6-May,I don't post,"No, never","Yes, a lot","Yes, a lot",sometimes,"No, never",I don't care about the number of likes or comments,"No, never","No, never",always,Natural,Get out of the house
18-24,feminine,Mecca,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,8-Jul,rarely,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always",rarely,sometimes,"No, never",always,Inspiration + wish for a better life,Leaving the device in an isolated room or not charging the device
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Facebook, Instagram, Snapchat, Youtube, WhatsApp, Telegram, Locket",Youtube,6-May,I don't post,"No, never",sometimes,sometimes,"Yes, always",rarely,I don't care about the number of likes or comments,"No, never",sometimes,always,nothing,nothing
18-24,feminine,Riyadh,High school or equivalent,bachelor,"Student, housewife, unemployed",Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",Instagram,2-Jan,sometimes,"No, never","Yes, a lot","Yes, a lot",sometimes,rarely,I don't care about the number of likes or comments,rarely,sometimes,sometimes,No feeling,Do Not Disturb mode: Use a feature that closes applications at a specific time
25-34,male,grandmother,Bachelor's degree,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), Snapchat, WhatsApp, Telegram",WhatsApp,2-Jan,sometimes,sometimes,sometimes,sometimes,"Yes, always",rarely,sometimes,sometimes,sometimes,sometimes,I wish for a better life,Turn off the Internet and leave the device away
18-24,feminine,City,Bachelor's degree,bachelor,"Student, unemployed",Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,8-Jul,I don't post,rarely,"Yes, a lot","Yes, a lot","Yes, always",sometimes,"Yes, always",rarely,rarely,always,"I feel motivated and inspired and I hope to be better than them, especially since I don?t know what worries they carry","When studying, I use the Forest application, which closes applications according to the time I set
 Sometimes I put it far away from me in the same room or a second room (this is more useful) because I have no way to get up and get it, so I have to study because I have nothing but slides ??"
25-34,male,Riyadh,Ph.D,married,Part-time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,6-May,rarely,sometimes,"Yes, a lot","Yes, a lot","Yes, always",rarely,sometimes,rarely,rarely,always,Motivation,"Programs for a certain time limit, but unfortunately when they close, the limit increases"
18-24,feminine,grandmother,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram",X (Twitter),6-May,I don't post,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always",I don't care about the number of likes or comments,sometimes,sometimes,always,"Feeling of lack of accomplishment, lethargy, and laziness",I keep myself busy away from my phone
35-44,male,Najran,Bachelor's degree,bachelor,Full time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp",X (Twitter),4-Mar,"Yes, always",sometimes,"Yes, a lot",sometimes,"Yes, always","No, never","Yes, always",rarely,"No, never",always,Aidi,Yes
18-24,feminine,Riyadh,Bachelor's degree,bachelor,"Student, unemployed",Yes,"Youtube, WhatsApp, Telegram",Telegram,2-Jan,I don't post,rarely,sometimes,"Yes, a lot",sometimes,sometimes,"No, never",rarely,"No, never",sometimes,I often strive to be in the shoes of those I emulate on social media,A specific time and applications close social networking sites after half an hour of use
18-24,feminine,Sakaka,Bachelor's degree,bachelor,student,no,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
18-24,feminine,grandmother,Bachelor's degree,married,student,Yes,"Instagram, TikTok",TikTok,2-Jan,I don't post,rarely,sometimes,rarely,"Yes, always",rarely,I don't care about the number of likes or comments,"No, never",sometimes,sometimes,.,.
25-34,male,Riyadh,High school or equivalent,bachelor,A worker with his own work,Yes,"X (Twitter), Snapchat, Youtube, WhatsApp",WhatsApp,4-Mar,I don't post,sometimes,"Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,sometimes,sometimes,always,I wish for a better life,Leave the device and get busy with work
25-34,feminine,Riyadh,diploma,married,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,rarely,"Yes, a lot",sometimes,"Yes, always",rarely,"No, never",rarely,sometimes,sometimes,"Lack, frustration, dissatisfaction with oneself and oneself, and sometimes optimism and positivity",Leave the device
35-44,male,Riyadh,Ph.D,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), TikTok, Youtube, WhatsApp",WhatsApp,6-May,sometimes,rarely,"Yes, a lot","Yes, a lot","Yes, always",rarely,"Yes, always",rarely,rarely,sometimes,Lack,The humming
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",X (Twitter),6-May,"Yes, always","No, never","Yes, a lot",sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,sometimes,sometimes,always,frustration,the job
35-44,male,Riyadh,Ph.D,married,student,Yes,"Facebook, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram",Facebook,4-Mar,"Yes, always","Yes, always",sometimes,"Yes, a lot","Yes, always","Yes, always","No, never",rarely,sometimes,sometimes,frustration,Shut down the internet
45-54,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Facebook, Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,I don't post,sometimes,"Yes, a lot",sometimes,sometimes,rarely,I don't care about the number of likes or comments,"No, never","No, never",rarely,Thank God I don't care about that,"Praise be to God, who has helped me control myself in staying away from this device, so much so that a week or more may pass for me. I do not open some applications except those related to teaching my children and communicating with them. This is because I saw this device as a great affliction. We ask God for safety. Therefore, with God?s grace and help, I turned to memorizing the Qur?an. Ask God for stability and completion"
35-44,male,Riyadh,Ph.D,married,student,Yes,"Facebook, X (Twitter), Youtube, WhatsApp",Facebook,4-Mar,I don't post,"Yes, always","Yes, a lot",sometimes,"Yes, always","Yes, always",I don't care about the number of likes or comments,"No, never","No, never",always,.,.
18-24,feminine,Al-Baha,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Snapchat, WhatsApp",Instagram,4-Mar,sometimes,rarely,sometimes,sometimes,"Yes, always","No, never",sometimes,rarely,"No, never",sometimes,I wish for a better life,Delete it
25-34,male,grandmother,High school or equivalent,bachelor,"Student, full-time employee",Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp",Snapchat,4-Mar,sometimes,"Yes, always",sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,"Yes, always","No, never",always,Feeling motivated or inspired,When I realize that I took a long time without achieving or benefiting
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,4-Mar,I don't post,sometimes,sometimes,"Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,sometimes,"No, never",always,"A person must feel frustrated when he sees people living what they want to communicate, but I always remind myself that what we see on social media is an insignificant part of their lives and that every person has good and bad in his life.",Forest
18-24,feminine,Riyadh,diploma,bachelor,"Student, unemployed",Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),6-May,rarely,"No, never",rarely,"No, never",rarely,"No, never","No, never","No, never",rarely,rarely,nothing,Leave the device and limit its use for a while
35-44,feminine,Riyadh,Less than high school,married,housewife,Yes,"Instagram, Youtube, WhatsApp",WhatsApp,12 hours or more,I don't post,"Yes, always",sometimes,"Yes, a lot","Yes, always","Yes, always",I don't care about the number of likes or comments,"No, never",sometimes,always,I don't care about everything I watch,I have not used any methods until now
25-34,feminine,grandmother,Bachelor's degree,married,Full time employee,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp",Instagram,6-May,I don't post,rarely,sometimes,sometimes,sometimes,"No, never","Yes, always",rarely,rarely,rarely,I wish for a better life,Writing down daily tasks to complete them + leaving the mobile phone in a place far away from me
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",Instagram,12 hours or more,rarely,sometimes,"Yes, a lot",sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,sometimes,"Yes, always",always,"All of the above, my opinion is determined according to my psychological state on this day",nothing
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Youtube, WhatsApp, Telegram, Locket",Instagram,6-May,rarely,sometimes,"Yes, a lot","Yes, a lot","Yes, always","No, never",sometimes,rarely,rarely,sometimes,Feeling inferior,Arrange a schedule for using the tablets
35-44,male,Najran,Bachelor's degree,bachelor,Full time employee,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,2-Jan,sometimes,sometimes,"Yes, a lot",sometimes,sometimes,"No, never","Yes, always",sometimes,"No, never",sometimes,Feeling motivated and inspired,Leave the device in an isolated room
18-24,feminine,Khamis Mushayt,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, WhatsApp, Telegram, Locket",TikTok,8-Jul,I don't post,"Yes, always","Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,"No, never",rarely,rarely,I'm sorry,Cut off the Internet from the world at the same time
35-44,feminine,City,Bachelor's degree,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, Youtube, WhatsApp, Telegram",Facebook,2-Jan,sometimes,rarely,"Yes, a lot","Yes, a lot","Yes, always",rarely,rarely,sometimes,"No, never",always,Depression,Mothing
18-24,feminine,Al-Ahsa,Bachelor's degree,bachelor,Not employed,Yes,"X (Twitter), TikTok, Snapchat, WhatsApp, Telegram, Locket",TikTok,8-Jul,sometimes,rarely,"Yes, a lot","Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,"No, never","Yes, always",always,"I don't care, I live my life as I like and as I want",Place the device in the room
25-34,male,grandmother,diploma,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,4-Mar,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always",rarely,rarely,sometimes,"Yes, always",always,Better life,Busy work
25-34,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,2-Jan,I don't post,sometimes,sometimes,"Yes, a lot","Yes, always","No, never",sometimes,sometimes,"Yes, always",always,Like a feeling of lack,Snap or Du program
18-24,feminine,Sakaka,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Snapchat,4-Mar,I don't post,rarely,"Yes, a lot",sometimes,"Yes, always",sometimes,I don't care about the number of likes or comments,rarely,"No, never",sometimes,"Sometimes I feel frustrated when I see people living lives and experiences that seem perfect, but I remember that what they show on social media is not the perfect picture, but only the positive. On the other hand, seeing positive things may be a source of inspiration and motivation to improve my life and develop myself.","Use the app limits feature, turn off the phone completely, or delete social media sites for a temporary period."
18-24,feminine,City,High school or equivalent,bachelor,student,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,6-May,"Yes, always",rarely,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,rarely,always,Feeling motivated and developing for a better life,Leave the phone in an isolated room
18-24,feminine,City,Bachelor's degree,bachelor,student,Yes,"X (Twitter), TikTok, Youtube, WhatsApp, Locket",X (Twitter),4-Mar,"No, never","No, never",sometimes,"Yes, a lot","Yes, always",rarely,sometimes,sometimes,"No, never",rarely,"Sometimes I feel inferior; Considering that social media shows the bright side of every person?s life - regardless of the troubles he faces -, for example, when a person posts his professional certificates when he is approximately the same age as me, considering that his personal circumstances are better or that he is interested in a certain aspect, we find that he is present in many places. 
 I often feel motivated and inspired; When someone publishes a post that motivates me in a certain aspect, for example studying, I find that I am motivated to complete the largest number of lectures and assignments in a very short time.","1- I set a number of tasks and set a timer to complete them at a specific time, and my thinking becomes that social media is hindering me from completing them at a specific time. 
 2- When I wake up, I strive as much as possible not to open the phone, and thus I find myself without it for the rest of the day. 
 3- Blocking social media notifications limits their use. 
 4- Delete unimportant programs."
25-34,feminine,Riyadh,Bachelor's degree,married,housewife,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,"No, never","No, never","No, never","No, never",sometimes,"No, never",I don't care about the number of likes or comments,"No, never",rarely,rarely,There is no such thing,Set a time
45-54,male,Najran,diploma,married,Full time employee,Yes,"Facebook, X (Twitter), Youtube, WhatsApp",WhatsApp,Less than an hour,rarely,"No, never","No, never",rarely,"Yes, always",sometimes,"No, never",sometimes,"No, never",rarely,I deliberately lack follow-up so that it does not affect me and my daily life,Arrange my time and lack of free time
18-24,feminine,Riyadh,Bachelor's degree,bachelor,"Student, unemployed",Yes,"Facebook, Instagram, Snapchat, Youtube, WhatsApp, Telegram",Youtube,4-Mar,I don't post,rarely,sometimes,"Yes, a lot",sometimes,rarely,I don't care about the number of likes or comments,rarely,rarely,sometimes,I don't compare,Forcing yourself to put down the device even if you are in the middle of a conversation or clip (unless it is an important conversation such as urgent family conversations)
18-24,feminine,City,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp",Instagram,12 hours or more,I don't post,sometimes,"Yes, a lot",sometimes,"Yes, always",sometimes,"Yes, always",sometimes,rarely,sometimes,I don't feel,I leave my cell phone to occupy myself with other things
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,8-Jul,I don't post,rarely,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,rarely,rarely,always,Feeling very bad,To set me tasks like farming and walking with someone
45-54,male,Riyadh,Master's,married,Part-time employee,Yes,"Facebook, X (Twitter), LinkedIn, Snapchat, WhatsApp",WhatsApp,2-Jan,rarely,sometimes,sometimes,rarely,sometimes,"No, never",I don't care about the number of likes or comments,"No, never",sometimes,sometimes,Frustration,Leave the device in an isolated room
35-44,male,Najran,Bachelor's degree,married,Full time employee,Yes,"Instagram, TikTok, Youtube, WhatsApp, Telegram",TikTok,Less than an hour,"No, never",sometimes,sometimes,"Yes, a lot","No, never","No, never","No, never","No, never","No, never",rarely,no,nothing
18-24,feminine,Mecca,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Telegram,2-Jan,I don't post,rarely,"Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,rarely,sometimes,sometimes,I don't compare it,"Delete applications or use programs that limit this and help in completing tasks, such as Forest and Flora"
25-34,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram",Snapchat,2-Jan,I don't post,sometimes,"Yes, a lot","Yes, a lot","Yes, always","No, never",sometimes,rarely,"No, never",sometimes,Comparing my surroundings,Delete the two mobile programs for a short period
25-34,feminine,Sakaka,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram,",X (Twitter),10-Sep,sometimes,sometimes,sometimes,sometimes,"Yes, always",rarely,sometimes,sometimes,sometimes,always,Lack,Lock the device
45-54,male,Najran,High school or equivalent,married,Full time employee,Yes,"TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,Less than an hour,I don't post,"Yes, always",rarely,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,sometimes,sometimes,sometimes,I don't compare myself to anyone,"Being busy with other things, such as sports"
25-34,feminine,Riyadh,diploma,married,housewife,Yes,"Facebook, Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,10-Sep,I don't post,sometimes,sometimes,"Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,"No, never",sometimes,sometimes,nothing,"Without means, if I want to leave, I leave"
45-54,male,Riyadh,Ph.D,married,Part-time employee,Yes,"Facebook, X (Twitter), LinkedIn, TikTok, WhatsApp, Telegram",WhatsApp,2-Jan,sometimes,rarely,sometimes,sometimes,sometimes,rarely,"No, never",sometimes,sometimes,sometimes,nothing,Immerse yourself in my research
25-34,feminine,Riyadh,Master's,married,Full time employee,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, WhatsApp, Telegram, Locket",TikTok,4-Mar,I don't post,rarely,"Yes, a lot","Yes, a lot","Yes, always",rarely,"No, never",sometimes,"No, never",always,Comparison and wishing for a better life,Leave the device
45-54,male,Najran,Less than high school,married,Full time employee,Yes,"TikTok, Youtube, WhatsApp",TikTok,Less than an hour,I don't post,"No, never",rarely,rarely,sometimes,"No, never",I don't care about the number of likes or comments,"No, never",sometimes,sometimes,"Contentment with what God has divided,,, and inspiration",Sports
45-54,male,Najran,High school or equivalent,married,"Full time employee, housewife",Yes,WhatsApp,WhatsApp,4-Mar,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,sometimes,sometimes,With motivation,?
